"Country name",Count
"United States",23377
"United Kingdom",9388
Germany,5691
Australia,3442
Portugal,3142
Canada,2937
China,2312
India,1896
France,1875
"South Korea",1607
Brazil,1593
Netherlands,1515
Italy,1371
Spain,1316
Japan,1110
Turkey,1052
Taiwan,837
Austria,783
Russia,771
Philippines,724
Mexico,691
Sweden,648
"Hong Kong",641
Switzerland,600
Greece,542
Poland,522
"New Zealand",492
"South Africa",466
Indonesia,446
Singapore,446
Malaysia,414
Colombia,413
Belgium,375
Finland,375
Chile,371
Israel,365
Denmark,363
Ukraine,339
Ireland,336
Norway,326
"Korea, Republic of",278
Iran,260
Thailand,255
Pakistan,218
Egypt,199
Argentina,198
Romania,196
"Czech Republic",187
Hungary,176
Peru,176
Nigeria,154
Serbia,127
Estonia,118
Lebanon,116
"Saudi Arabia",110
Croatia,108
Lithuania,106
Slovenia,100
"United Arab Emirates",97
Slovakia,93
Kenya,81
Latvia,78
Vietnam,76
"Russian Federation",70
Bulgaria,69
"Costa Rica",65
Kuwait,59
Bangladesh,58
Ghana,54
Cyprus,52
"Sri Lanka",51
"Puerto Rico",49
Malta,45
Venezuela,45
Ecuador,44
Georgia,41
Kazakhstan,40
Iraq,39
Tunisia,39
Jordan,36
Seychelles,34
Bahrain,33
Algeria,31
Uzbekistan,31
Morocco,29
"Iran, Islamic Republic of",28
Luxembourg,28
"Bosnia and Herzegovina",27
"Trinidad and Tobago",27
Iceland,24
Nepal,24
Belarus,23
Zimbabwe,23
Ethiopia,22
Albania,21
Mauritius,20
Uruguay,17
Moldova,16
Myanmar,16
Armenia,15
